dataset,model,seed,train_rows,test_rows,accuracy,precision,recall,f1,roc_auc,pr_auc,runtime_sec
NSL-KDD,LightGBM,13,100778,22544,0.7756387508871541,0.9665186607464299,0.6276007169017377,0.7610318435226306,0.9684072693116582,0.9708022098665869,13.2462899684906
NSL-KDD,XGBoost,13,100778,22544,0.7900993612491128,0.9683200369984969,0.6526143536195745,0.7797225584210037,0.9699096373305091,0.9717875415811876,15.483899593353271
NSL-KDD,LightGBM,14,100778,22544,0.7812721788502484,0.9675739644970415,0.6371074573365542,0.7683127378659024,0.9685509727180346,0.9712359125983004,8.663762092590332
NSL-KDD,XGBoost,14,100778,22544,0.7912970191625266,0.9683106706614427,0.6547962284734669,0.7812746966668216,0.9698389551709165,0.9718709499007175,12.715569734573364
NSL-KDD,LightGBM,15,100778,22544,0.7730660042583393,0.9667352122898271,0.6227694225824048,0.7575355450236967,0.9690088279718365,0.9717747631004873,9.80898666381836
NSL-KDD,XGBoost,15,100778,22544,0.7831352022711142,0.9680650483148715,0.6401464973116184,0.7706740466250762,0.968793587816551,0.9712135929536928,14.330315351486206
NSL-KDD,LightGBM,16,100778,22544,0.7718239886444287,0.966395729710057,0.6207433959323618,0.7559309166824825,0.9661880653544652,0.9687424424273573,7.11770224571228
NSL-KDD,XGBoost,16,100778,22544,0.788458126330731,0.9681839294008361,0.6497311618483597,0.7776171601771975,0.9704087295279618,0.9724789809568729,11.372228622436523
NSL-KDD,LightGBM,17,100778,22544,0.7743523775727467,0.9666265060240964,0.6251850697420712,0.7592864240760895,0.967037852119987,0.9698922435944625,11.310194253921509
NSL-KDD,XGBoost,17,100778,22544,0.7878814762242725,0.9681358297476451,0.6487181485233383,0.776875699888018,0.9679805243187111,0.9702604404205115,13.709471940994263
NSL-KDD,LightGBM,18,100778,22544,0.7743523775727467,0.9666265060240964,0.6251850697420712,0.7592864240760895,0.96629370142076,0.9697022186603869,9.897901773452759
NSL-KDD,XGBoost,18,100778,22544,0.7911195883605394,0.9684040590405905,0.6544066079638432,0.7810276679841898,0.9699030533818292,0.9723874293031907,12.264759302139282
NSL-KDD,LightGBM,19,100778,22544,0.7763041163946061,0.9666906302420321,0.6286916543286839,0.7618867746352519,0.9687467017566657,0.9718738227419229,16.20079755783081
NSL-KDD,XGBoost,19,100778,22544,0.7827803406671399,0.9675936837143531,0.6398348009039195,0.7702987945025564,0.9685299650670367,0.9709128836915295,21.817131757736206
NSL-KDD,LightGBM,20,100778,22544,0.7773243435060326,0.9666706486680205,0.6305618327748773,0.7632522165629126,0.9683485714632823,0.9709413044145028,34.110623836517334
NSL-KDD,XGBoost,20,100778,22544,0.7862402413058907,0.968107476635514,0.6457570326501987,0.7747394007385593,0.9690823627746414,0.9711624251113078,22.751986742019653
UNSW-NB15,XGBoost,1,140272,82332,0.8726254676189088,0.8207441226826709,0.9834553957469337,0.894762721899429,0.983750755387877,0.9881347465021082,125.41913986206055
UNSW-NB15,RandomForest,1,140272,82332,0.8704391973959092,0.8163384497453962,0.9866760787081973,0.8934610429172118,0.9800942953012132,0.9836254220227773,227.40293216705322
UNSW-NB15,XGBoost,2,140272,82332,0.8713622892678424,0.8200814461294662,0.9817568163769522,0.8936657262477284,0.9835757510356027,0.9880448404175319,314.08069825172424
UNSW-NB15,RandomForest,2,140272,82332,0.8712529757566925,0.8171177093605054,0.9870952086826084,0.8940995464263592,0.9806284147466976,0.9841944410634812,50.17798042297363
UNSW-NB15,XGBoost,3,140272,82332,0.8724554243793422,0.8202379420039351,0.9840068825553693,0.8946898661184376,0.9838434969867953,0.9882263998931877,21.186227083206177
UNSW-NB15,RandomForest,3,140272,82332,0.8706578244182092,0.816641408147242,0.986609900291185,0.8936153208323759,0.9798588217618482,0.9831859416511193,10.621622562408447
UNSW-NB15,XGBoost,4,140272,82332,0.8708764514405092,0.8195480413282502,0.9816244595429278,0.8932941211896135,0.9832613472137098,0.9878520388290228,28.258221864700317
UNSW-NB15,RandomForest,4,140272,82332,0.8707185541466259,0.8168432590427476,0.9863672460954734,0.893636581661204,0.9798882789080441,0.9835788492235441,14.030958652496338
UNSW-NB15,XGBoost,5,140272,82332,0.8727590730214254,0.8212889904874272,0.9827494926321363,0.8947939262472885,0.9837526533968011,0.9881500562222705,79.87218046188354
UNSW-NB15,RandomForest,5,140272,82332,0.8710343487343924,0.8165949219320006,0.9875805170740316,0.8939853828028276,0.9804497479258134,0.9838984205894385,19.646082401275635
UNSW-NB15,XGBoost,6,140272,82332,0.8725525919448088,0.820287936455403,0.9841392393893938,0.8947743158274752,0.9841198231784242,0.9883993217219249,76.43291449546814
UNSW-NB15,RandomForest,6,140272,82332,0.8705970946897925,0.8164628581858003,0.9868084355422219,0.8935898204190887,0.9803980101163547,0.9840268919423834,10.944222688674927
UNSW-NB15,XGBoost,7,140272,82332,0.8718724189865423,0.8201852090505735,0.9827494926321363,0.8941384258748206,0.9834411313170578,0.9879162578447785,29.431556701660156
UNSW-NB15,RandomForest,7,140272,82332,0.8710829325171258,0.8170825265772842,0.986764316597547,0.8939427246747537,0.9802460045525982,0.9837971928365767,10.87514853477478
UNSW-NB15,XGBoost,8,140272,82332,0.8717509595297089,0.8198223056122731,0.9831465631342098,0.8940869652439942,0.9836775301618569,0.9880978182002742,31.400567054748535
UNSW-NB15,RandomForest,8,140272,82332,0.8704877811786426,0.8168839003345337,0.9857495808700256,0.8934073074423952,0.9796583804531613,0.9832423857526278,10.600298404693604
UNSW-NB15,XGBoost,9,140272,82332,0.8723339649225089,0.819934214153145,0.9842936556957558,0.894627622780724,0.9837566494404049,0.9881317869933506,32.36150932312012
UNSW-NB15,RandomForest,9,140272,82332,0.8701598406451926,0.8161920408908361,0.9863010676784612,0.8932195940546588,0.9800648444151379,0.983525358161886,10.72662615776062
UNSW-NB15,XGBoost,10,140272,82332,0.8725161541077588,0.8206789896163194,0.9833230389129092,0.8946692357096981,0.9838466660982875,0.9882313102405876,31.66818857192993
UNSW-NB15,RandomForest,10,140272,82332,0.8710343487343924,0.8171850444062717,0.9864554839848231,0.8938773062546225,0.9799763927873872,0.9833236375478248,10.828734636306763
UNSW-NB15,XGBoost,11,140272,82332,0.8731234513919254,0.8206433823529412,0.9848010235595165,0.8952592949103597,0.9840746802568916,0.9883446712369166,36.30128502845764
UNSW-NB15,RandomForest,11,140272,82332,0.8710950784628091,0.8169353513592463,0.9870731492102709,0.8939813196144049,0.9801979974768733,0.983648284856537,13.310754299163818
UNSW-NB15,XGBoost,12,140272,82332,0.8728440946412087,0.8209098105635229,0.9836539309979705,0.8949433522995254,0.9841609202734897,0.9884430849150737,34.81225085258484
UNSW-NB15,RandomForest,12,140272,82332,0.8707914298207259,0.8168517571418134,0.9865216624018354,0.893705035971223,0.9801471053798879,0.98352791413856,14.130468368530273
UNSW-NB15,XGBoost,13,140272,82332,0.8725768838361755,0.8209199933680894,0.9830142063001853,0.8946845354615269,0.9838026425459254,0.9881901298199111,41.83736729621887
UNSW-NB15,RandomForest,13,140272,82332,0.870208424427926,0.8160554643313264,0.9866760787081973,0.8932915260330331,0.980095941712912,0.983725652555468,13.66462516784668
UNSW-NB15,XGBoost,14,140272,82332,0.8726011757275421,0.8205368806461703,0.9837862878319951,0.8947764413189812,0.9838402527538569,0.9882056014149103,49.07993173599243
UNSW-NB15,RandomForest,14,140272,82332,0.8704270514502259,0.8163350976455558,0.9866540192358598,0.8934499910109667,0.9802316900417578,0.9837994306939241,14.012794733047485
UNSW-NB15,XGBoost,15,140272,82332,0.871969586552009,0.8199407772525795,0.9834333362745963,0.8942759997191659,0.983845305267325,0.9882062161450555,44.48516535758972
UNSW-NB15,RandomForest,15,140272,82332,0.8706092406354758,0.8161085081946293,0.9875143386570193,0.8936667165743375,0.980453387440648,0.9839186002929416,13.336726188659668
UNSW-NB15,XGBoost,16,140272,82332,0.8719452946606423,0.820205069675828,0.9828818494661608,0.8942050072750991,0.9836097002654292,0.9880532961169771,43.131038427352905
UNSW-NB15,RandomForest,16,140272,82332,0.8707307000923092,0.8166383701188455,0.9867863760698844,0.8936858823881969,0.9800848365571961,0.9835613900446033,13.304984092712402
UNSW-NB15,XGBoost,17,140272,82332,0.8717995433124424,0.8199650381819855,0.9829921468278479,0.8941079687390271,0.9835114214408531,0.9879806197959435,43.48218846321106
UNSW-NB15,RandomForest,17,140272,82332,0.8708643054948259,0.8170223651512937,0.9863672460954734,0.8937437537477514,0.9804564191275897,0.9840372148835557,13.61909556388855
UNSW-NB15,XGBoost,18,140272,82332,0.8726861973473254,0.8205835817051182,0.9838965851936822,0.8948498284613687,0.9838698839910236,0.9882171881995985,46.65700125694275
UNSW-NB15,RandomForest,18,140272,82332,0.8706942622552591,0.8165243101182654,0.986918732903909,0.8936718469098318,0.9803647837813988,0.9839902582398559,13.283027648925781
UNSW-NB15,XGBoost,19,140272,82332,0.8725525919448088,0.8206770862097531,0.9834112768022589,0.8947046250489198,0.9836115419332683,0.9880491672398365,44.84698247909546
UNSW-NB15,RandomForest,19,140272,82332,0.8714716027789924,0.8175836227380735,0.9867201976528721,0.8942244257411887,0.9800913056465095,0.98365165734903,13.691215515136719
UNSW-NB15,XGBoost,20,140272,82332,0.8712165379196424,0.819641049240681,0.9822421247683756,0.8936050653742337,0.9832646641832868,0.9878447914150195,34.55427885055542
UNSW-NB15,RandomForest,20,140272,82332,0.8706213865811592,0.8167586131306858,0.9863010676784612,0.8935587665127805,0.9801665302357859,0.9838363990888804,13.536495923995972
CICIDS2017,LightGBM,1,420000,90000,0.9999,0.9995760016959933,0.9994700582935877,0.9995230271874503,0.9999993040671191,0.9999942961959822,128.04614329338074
CICIDS2017,XGBoost,1,420000,90000,0.9998888888888889,0.9995759567475883,0.9993640699523052,0.9994700021199915,0.9999889019096746,0.9999479877297721,59.4255211353302
CICIDS2017,LightGBM,2,420000,90000,0.9999,0.9995760016959933,0.9994700582935877,0.9995230271874503,0.999999430361177,0.9999952198162447,116.56893587112427
CICIDS2017,XGBoost,2,420000,90000,0.9998555555555556,0.9994698897370653,0.9991520932697403,0.9993109662373456,0.9999834936297639,0.9999374346505001,52.8614661693573
CICIDS2017,LightGBM,3,420000,90000,0.9998888888888889,0.9994700582935877,0.9994700582935877,0.9994700582935877,0.9999995079794,0.9999959004106926,76.63072299957275
CICIDS2017,XGBoost,3,420000,90000,0.9998888888888889,0.9995759567475883,0.9993640699523052,0.9994700021199915,0.9999838751430634,0.9999380801994381,63.45222043991089
CICIDS2017,LightGBM,4,420000,90000,0.9998888888888889,0.9994700582935877,0.9994700582935877,0.9994700582935877,0.9999994435168079,0.9999953909129558,77.70816230773926
CICIDS2017,XGBoost,4,420000,90000,0.9998666666666667,0.9994699459344853,0.9992580816110228,0.9993640025439898,0.9999874653147678,0.999944589926168,66.24166774749756
CICIDS2017,LightGBM,5,420000,90000,0.9999111111111111,0.9995760466348702,0.9995760466348702,0.9995760466348702,0.9999991804041877,0.9999932770000037,39.76610040664673
CICIDS2017,XGBoost,5,420000,90000,0.9998666666666667,0.9995758668221821,0.9991520932697403,0.9993639351213823,0.9999784865965992,0.9999301640948108,48.95500063896179
CICIDS2017,LightGBM,6,420000,90000,0.9998888888888889,0.9994700582935877,0.9994700582935877,0.9994700582935877,0.9999994862726089,0.99999572116843,128.4189064502716
CICIDS2017,XGBoost,6,420000,90000,0.9998666666666667,0.9995758668221821,0.9991520932697403,0.9993639351213823,0.9999784418674537,0.9999304561781733,68.34663653373718
CICIDS2017,LightGBM,7,420000,90000,0.9999111111111111,0.9995760466348702,0.9995760466348702,0.9995760466348702,0.9999993185383134,0.999994407899111,42.4071102142334
CICIDS2017,XGBoost,7,420000,90000,0.9998888888888889,0.9995759567475883,0.9993640699523052,0.9994700021199915,0.9999922092353122,0.999957337851983,53.90874409675598
